seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
18,beta,1,max,1.0,0.5,raw,none,,4,0.4301233335427792,0.6703288395338677,0.3366370015581216,0.8790168425381054
29,beta,1,max,1.0,0.5,raw,none,,4,0.4268568783791123,0.6686753730778889,0.357233988255594,0.8657413704562172
35,beta,1,max,1.0,0.5,raw,none,,4,0.4225680698207681,0.6907935233663889,0.367462886863121,0.8501815079355186
31,beta,1,max,1.0,0.5,raw,none,,8,0.4188028907111835,0.6940461814805113,0.3490865730344913,0.868108191737924
15,beta,1,max,1.0,0.5,raw,none,,4,0.437856375778169,0.628613206105261,0.3624347340267261,0.8608829582782451
17,beta,1,max,1.0,0.5,raw,none,,7,0.4502780863036356,0.6288131001371742,0.3425069571923113,0.8661939191694475
33,beta,1,max,1.0,0.5,raw,none,,3,0.431490064918787,0.6457978026038798,0.3498774518318578,0.8586753573004718
21,beta,1,max,1.0,0.5,raw,none,,7,0.4293077524766533,0.6570241606967271,0.3371758480551239,0.8935994628545748
0,beta,1,max,1.0,0.5,raw,none,,13,0.4438261692062445,0.6275008471646512,0.3664324688020322,0.8619634653279403
27,beta,1,max,1.0,0.5,raw,none,,4,0.4526472532822116,0.5992570134768499,0.3485273527606258,0.8731493338646994
36,beta,1,max,1.0,0.5,raw,none,,8,0.4533280213771745,0.6127407540394973,0.3490102632039597,0.8707159350874092
48,beta,1,max,1.0,0.5,raw,none,,3,0.4495539036924227,0.597648407624283,0.3539790072399301,0.8725798825654558
4,beta,1,max,1.0,0.5,raw,none,,14,0.4436166327830281,0.6393377076778717,0.3464836103394337,0.8657697839009003
49,beta,1,max,1.0,0.5,raw,none,,3,0.4441298457492514,0.6501947180462905,0.3586453203339259,0.8594352617079889
