seed,model_type,n_samples,pre_revision,j_percentage,mirt_dim,rmse_mirt,auc_mirt,baseline_embedding_type
12,bernoulli,32,none,1.0,3,0.2672251998226472,0.5857551669316375,pca
40,bernoulli,32,none,1.0,3,0.2775506604406862,0.6042072458122322,pca
32,bernoulli,32,none,1.0,3,0.2636559234315089,0.5715711936642169,pca
48,bernoulli,32,none,1.0,3,0.2575168937863403,0.5798117290229513,pca
36,bernoulli,32,none,1.0,3,0.2639650763292943,0.5514650638617581,pca
26,bernoulli,32,none,1.0,3,0.2701344443854258,0.5724604179648501,pca
44,bernoulli,32,none,1.0,3,0.2591468640767551,0.5768826289391843,pca
16,bernoulli,32,none,1.0,3,0.2765264422946829,0.5933297191350946,pca
0,bernoulli,32,none,1.0,3,0.2831626600098422,0.6041242178581234,pca
8,bernoulli,32,none,1.0,3,0.264965571177819,0.563804107986435,pca
28,bernoulli,32,none,1.0,3,0.2877866451111053,0.6041045011016682,pca
14,bernoulli,32,none,1.0,3,0.2766496542550799,0.5672891016681035,pca
4,bernoulli,32,none,1.0,4,0.2656954784016471,0.5877962988902896,pca
15,bernoulli,32,none,1.0,3,0.2770958450666672,0.5523403291559716,pca
17,bernoulli,32,none,1.0,3,0.2677112721431539,0.5519333607568901,pca
46,bernoulli,32,none,1.0,3,0.2705073855840846,0.5793106060606061,pca
35,bernoulli,32,none,1.0,3,0.2640363928625503,0.5929796534203111,pca
37,bernoulli,32,none,1.0,3,0.2661583818487122,0.610428982871002,pca
3,bernoulli,32,none,1.0,3,0.2641788694624847,0.6131171979701546,pca
47,bernoulli,32,none,1.0,3,0.2616992202987688,0.5296701207339101,pca
18,bernoulli,32,none,1.0,3,0.2557006809713391,0.621244039453916,pca
10,bernoulli,32,none,1.0,3,0.2745041614470649,0.5862893642305407,pca
43,bernoulli,32,none,1.0,3,0.2775843074033861,0.564830648903029,pca
6,bernoulli,32,none,1.0,3,0.2729234768597776,0.5375639941528518,pca
5,bernoulli,32,none,1.0,3,0.2638452454429354,0.5815130253151524,pca
39,bernoulli,32,none,1.0,3,0.285983518639094,0.5921123493102449,pca
13,bernoulli,32,none,1.0,3,0.2591622163450793,0.5020201880912325,pca
34,bernoulli,32,none,1.0,3,0.2662889513214447,0.5364885443936827,pca
45,bernoulli,32,none,1.0,3,0.2786205746738665,0.5424927332212359,pca
7,bernoulli,32,none,1.0,3,0.2716251941167609,0.5739927850849189,pca
11,bernoulli,32,none,1.0,3,0.2658821291942905,0.5708987014513192,pca
41,bernoulli,32,none,1.0,3,0.2651192394136156,0.6263944932352243,pca
19,bernoulli,32,none,1.0,3,0.2620674912805044,0.6285900783289817,pca
30,bernoulli,32,none,1.0,3,0.2590266594523157,0.6539536919224254,pca
31,bernoulli,32,none,1.0,3,0.2651990532706049,0.5845163271203584,pca
22,bernoulli,32,none,1.0,3,0.2847126554352466,0.5716900138602936,pca
9,bernoulli,32,none,1.0,3,0.2580062975900374,0.6104645270270271,pca
27,bernoulli,32,none,1.0,3,0.2683322331946983,0.5674744594915657,pca
21,bernoulli,32,none,1.0,3,0.265024741115467,0.5948659657099555,pca
23,bernoulli,32,none,1.0,3,0.2739361031775401,0.5487467377900139,pca
49,bernoulli,32,none,1.0,3,0.2663763723091925,0.5770594314076019,pca
38,bernoulli,32,none,1.0,3,0.2787138315222977,0.5697191091468043,pca
29,bernoulli,32,none,1.0,3,0.2843805370210955,0.5985453360392256,pca
25,bernoulli,32,none,1.0,3,0.2836713143618671,0.5792095361768722,pca
33,bernoulli,32,none,1.0,3,0.290348594236707,0.5477754725680036,pca
2,bernoulli,32,none,1.0,4,0.2603086517754779,0.5326628989361702,pca
1,bernoulli,32,none,1.0,3,0.2785809150131163,0.5618161228678604,pca
