item,assigned_skill,max_loading
624,17,0.031276163464443674
625,0,0.04186786342592633
626,2,0.056976012498749604
627,16,0.06450305036904146
628,16,0.033961027472295
629,0,0.05419117022254444
630,2,0.04993627799803205
631,0,0.021202751046581276
632,2,0.04743287096744221
633,0,0.029944653038343646
634,18,0.038352426823545574
635,17,0.030572960621070823
636,2,0.03687071762959062
637,2,0.0499075400097599
638,2,0.033274276649015055
639,2,0.05430348123742913
640,16,0.04946526078096318
641,16,0.04782053796178808
642,16,0.04138193899124989
643,16,0.05664297147651439
644,16,0.021089405852460583
645,18,0.019663633939169353
646,2,0.055792014376807086
647,2,0.05450418682039955
648,2,0.07180231401527393
649,16,0.030781350276537035
650,2,0.0574037406974848
651,2,0.032437975316475465
652,18,0.03319872469996915
653,16,0.04631353786382282
654,2,0.07188616424336773
655,2,0.02759823586136175
656,0,0.0823370627248697
657,2,0.08516700113907699
658,18,0.025454340897152837
659,15,0.02592568703985443
660,2,0.026772692977020653
661,2,0.03300075911442735
662,2,0.026878539737528722
663,0,0.03128892726885338
664,2,0.04275773290582618
665,0,0.04126123658572118
666,2,0.020519530748447305
667,0,0.07380303466296959
668,2,0.06209056884496459
669,0,0.02570161265674355
670,16,0.04488545035602174
671,0,0.027533418816268557
672,0,0.03717987163215322
673,2,0.02969941569314579
674,15,0.023751000414753927
675,16,0.040056697995064214
676,18,0.036754983295722736
677,0,0.014702838633992856
678,16,0.032148888533112936
679,2,0.04128518589266466
680,0,0.032604454416993826
681,2,0.06390572286199502
682,0,0.035113176201882305
683,16,0.05509999894439002
684,18,0.03652532265537795
685,0,0.053034111661329986
686,0,0.03169864214405074
687,0,0.025401773128517432
688,2,0.0473376644262622
689,0,0.05000563001323592
690,16,0.0660598748471503
691,0,0.052757614398175064
692,0,0.08729697332069067
693,16,0.04927787685612986
694,16,0.06364135256879865
695,18,0.036598238976238935
696,0,0.05652464836379273
697,2,0.06965961441604726
698,16,0.031541093675227734
699,0,0.03465219854356711
700,16,0.06384828940216379
701,0,0.0408444241946295
702,16,0.09353708017138133
703,16,0.06182595852184939
704,16,0.07183919995454395
705,2,0.05315790060817208
706,16,0.029480665857985266
707,2,0.036666954782570385
708,2,0.05089580829709946
709,2,0.04276000023179888
710,16,0.03258530092365288
711,16,0.02678060713663936
712,5,0.035518132629100224
713,0,0.056417082839575895
714,15,0.018336239397327984
715,2,0.05164490132128024
716,2,0.0498187074058054
717,16,0.04760019342133834
718,2,0.06077567541411262
719,0,0.05480112207954719
720,2,0.026004673156284734
721,16,0.027178165558071784
722,0,0.04268113099633895
723,2,0.058717415636931065
724,0,0.0481527383594849
725,0,0.07229239715716967
726,18,0.05960610150562055
727,16,0.06403705479721175
728,5,0.031198030200708517
729,16,0.05279726832623155
730,16,0.043854905479408866
731,18,0.03747018601935116
732,16,0.06645443479568537
733,16,0.058494781577096595
734,18,0.019121908794705406
735,0,0.041825181287623164
736,16,0.043236164317926144
737,16,0.0429477445794615
738,15,0.02005807884134016
739,0,0.03312685125618725
740,2,0.04671783267681989
741,16,0.039948610404999585
742,0,0.02799540213524091
743,15,0.03600267115201176
744,2,0.043950916015971744
745,2,0.01785881008020867
746,0,0.022278327418473045
747,16,0.05592737466585581
748,16,0.037271625353391895
749,16,0.05440302404248212
750,2,0.02752068682087764
751,0,0.03936099753140706
752,18,0.03885446675929742
753,18,0.04046905795923987
754,0,0.0605472961604253
755,16,0.0423407983186429
756,2,0.022778972811018365
757,16,0.04203908602686908
758,18,0.032639429845916855
759,0,0.046020464553566065
760,2,0.029507663329257763
761,16,0.056354481984381116
762,16,0.03134906284396877
763,16,0.05024754953794332
764,0,0.038390242028422596
765,0,0.04910999812226203
766,2,0.056982854074230996
767,16,0.05895658250190378
768,2,0.05251988642170345
769,2,0.05265217466410231
770,2,0.04105130608159402
771,16,0.02929660327934797
772,16,0.04674139794944542
773,2,0.045954041497402974
774,16,0.052297347448857334
775,13,0.019296675589885817
776,2,0.06410550614171721
777,18,0.032845215166953226
778,16,0.028035986085085403
779,2,0.0292657663641971
780,0,0.06661549902416634
781,0,0.042637967655765135
782,2,0.03447673943070808
783,5,0.028829188697388163
784,18,0.0426866455236985
785,0,0.055871629507485455
786,2,0.051042107523848385
787,2,0.06156026619535869
788,18,0.026732620330419295
789,2,0.04979180510624877
790,2,0.02876500479571312
791,18,0.04363180705461793
792,18,0.06777570982738029
793,2,0.04123704026963041
794,2,0.0577136906295358
795,18,0.01827500563969505
796,0,0.03129269556767119
797,2,0.06736336970133448
798,2,0.033197311622635374
799,2,0.034954772259640755
800,16,0.045773884804621336
801,18,0.031055114633314188
802,18,0.04821382854664186
803,2,0.05563435503621803
804,0,0.05361941712701608
805,16,0.05091959921986685
806,0,0.08108354824800988
807,2,0.04648968080111487
808,2,0.028151782373569214
809,2,0.027612645353691206
810,2,0.035305933798680245
811,18,0.020556801147048633
812,0,0.047814563780512326
813,2,0.05325973808889451
814,2,0.044230579445041364
815,2,0.03583994057638889
816,18,0.02471859345344916
817,0,0.03978936732763739
818,2,0.03320134404015072
819,2,0.03125573821921177
820,0,0.034799322171044166
821,2,0.03942581153939587
822,18,0.03984863496676341
823,16,0.04287875889622988
824,2,0.048244345939303865
825,0,0.04352171745167471
826,2,0.04087221201714725
827,0,0.049506961318286385
828,2,0.05414662103076668
829,0,0.03985953187331613
830,0,0.060181404582197506
831,16,0.02148054547018414
832,2,0.061207316837188136
833,16,0.057337191406529694
834,18,0.03321369918774736
835,0,0.019402920431652763
836,2,0.023514489983043105
837,2,0.023624892917074848
838,0,0.05327850274594461
839,2,0.0683519887094146
840,2,0.055468868155561214
841,2,0.051893200348623096
842,17,0.03735073193186525
843,0,0.02096426361765204
844,18,0.022894028911975266
845,2,0.03021120965736748
846,2,0.040295463707355296
847,18,0.029607419808377562
848,12,0.01807030221222635
849,2,0.04233336628667609
850,0,0.04154724839890961
851,2,0.03984463488989416
852,16,0.029187073991811287
853,16,0.058101983366850206
854,15,0.025360983339978847
855,16,0.022548649948922972
856,2,0.05267489775135431
857,16,0.026797561696643008
858,18,0.05631492463361873
859,2,0.061423059014993196
860,2,0.03803285133931635
861,0,0.03931946665252857
862,0,0.05179335454601671
863,0,0.03308192840894249
864,17,0.027083913299547274
865,18,0.02511135966085296
866,2,0.027129732113525918
867,0,0.07441127721473478
868,16,0.027558754406310986
869,18,0.018458402456783714
870,0,0.029150659392366274
871,2,0.023872232914286605
872,0,0.051924139251710764
873,5,0.03603407612811352
874,0,0.037352673508967246
875,0,0.0360739181260038
876,0,0.044678771210236674
877,2,0.04627625770262106
878,16,0.08842433523800058
879,16,0.04449507174760321
880,2,0.0362551664026991
881,0,0.09284544003954207
882,0,0.0634151886967192
883,0,0.03848172574196367
884,17,0.01661355823888037
885,0,0.043990225900960515
886,16,0.029649752720589343
887,2,0.06744923896122974
888,2,0.05680391076406747
889,0,0.05547712841776321
890,0,0.03562990614866751
891,2,0.042287191495449045
892,16,0.050714253714905094
893,16,0.060688158219238154
894,16,0.026391871559618498
895,16,0.03594267896943389
896,2,0.06141913741324471
897,2,0.03076561451526166
898,16,0.039944230132902644
899,2,0.032967221173304785
900,16,0.02699198540321526
901,2,0.040755064820561786
902,2,0.02222200252448279
903,0,0.0766198993311257
904,0,0.08383321714138207
905,16,0.05136629114712525
906,2,0.023413456864525912
907,2,0.041466188405789785
908,18,0.023842182316465208
909,2,0.08066378682318984
910,18,0.05358305789682202
911,0,0.04295386639566401
912,2,0.056879899992703375
913,2,0.02498291614701094
914,2,0.044956300334746985
915,2,0.03458912146875504
916,16,0.066151489261827
917,2,0.05155765866222714
918,16,0.028989424124846064
919,18,0.03915144472784063
920,16,0.04270763542132017
921,16,0.04374511656707527
922,0,0.0511507714591837
923,2,0.06507266842180692
924,16,0.05776177318310179
925,16,0.06846239922255248
926,2,0.05158219863164554
927,2,0.06377260957588932
928,18,0.0376243375609496
929,2,0.0369336240747424
930,2,0.053076975039512204
931,0,0.039481898791719296
932,0,0.060805131226536004
933,0,0.03149828542882789
934,18,0.02086512351398641
935,18,0.02829029444990585
936,0,0.03884520649738501
937,2,0.05060198318006328
938,0,0.06601760045450035
939,16,0.0519237294316704
940,2,0.034773428060477354
941,18,0.0316936147504393
942,2,0.040085403153989646
943,2,0.05565737273606364
944,16,0.046330210518371634
945,16,0.05516924811814519
946,2,0.06145183238621276
947,0,0.019657563931553913
948,16,0.07226721315553457
