seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
32,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1517208665609359,0.1248167157173156,0.1931061893701553,0.6557851239669421,0.4439301199102889,0.1970739488723894,0.6416317290154389,0.0984311234513257,0.3897856841689314,0.6773489713668823,0.7497832030057907,0.6910468319559229,0.414704005811959,0.1719794165879993,0.6102181938172719,0.0896597507790747,0.3488011623267084,0.6964351385831833,0.7975336872041225
32,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.257148265838623,0.1248167157173156,0.1931061893701553,0.7003788982803848,0.4254953491940698,0.1810462875535541,0.6074725443988477,0.0912999073824644,0.360255062704285,0.6629060953855515,0.7736376613378524,0.669775575633926,0.4540573098554868,0.2061680440645956,0.6685751229900034,0.1394632140174508,0.3726173945392171,0.7647595211863518,0.8283475875854491
48,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.061627559363842,0.1106906831264495,0.1902060061693191,0.6520761831101658,0.448756851234309,0.2013827151362077,0.6702546582361424,0.0833627073324608,0.3907477436522539,0.7080663807690144,0.7433282867074011,0.6474114177986174,0.4681733399046057,0.219186280853486,0.7289518685403106,0.1365887091831407,0.3964024790329858,0.7886850133538246,0.8326498404145241
48,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1446924954652786,0.1106906831264495,0.1902060061693191,0.715675057208238,0.4384860609083529,0.1922700367482493,0.7751037652190718,0.1027060984247625,0.3748884608836046,0.6800996273756027,0.7462050721049309,0.8013443935926773,0.4108292643801441,0.1687806893840508,0.5683226162041607,0.1073663516103157,0.3388353201915465,0.7431532025337221,0.7849040448665621
48,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2482758164405822,0.1106906831264495,0.1902060061693191,0.6348535185744488,0.4098797002070892,0.1680013738913402,0.6797107350651267,0.140083504422144,0.3568247544268767,0.6459283381700516,0.6906818889081479,0.7085472666868016,0.3711804539631077,0.1377749287002965,0.6164154300614392,0.1292983775337537,0.3097726595277587,0.586025343835354,0.765573088824749
6,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.0824993550777435,0.1354212164878845,0.1954255402088165,0.6580005815080441,0.4415304127486187,0.1949491091305208,0.6859500581254325,0.1095903499994304,0.3903641161256625,0.6564995497465135,0.7384961396455763,0.6867125411901531,0.4339478395810649,0.18831073958492,0.6582452261341225,0.1016111560812633,0.3755851040154488,0.6933971047401428,0.7551423199474812
6,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.164688378572464,0.1354212164878845,0.1954255402088165,0.6281341107871721,0.443310251749518,0.1965239838849422,0.8249553557623811,0.1396836756282278,0.3999355798587203,0.6481559067964555,0.6918195307254792,0.6650145772594753,0.4404486675359651,0.1939950344645719,0.6958807085751738,0.1756252403415384,0.3968397148308299,0.6849477767944336,0.7244917690753937
6,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2664359509944916,0.1354212164878845,0.1954255402088165,0.5832135671169877,0.4793444559345883,0.2297711033284828,1.3437523106294245,0.1524902908562144,0.4163415234535932,0.7052478194236756,0.9016010403633116,0.637539522851394,0.4480976877441884,0.2007915407911376,0.7048600321768848,0.1317354008555412,0.3801098187143604,0.7221330940723419,0.7723345100879669
19,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.06865044683218,0.1211436688899993,0.2035237699747085,0.6752607324763522,0.4328243543192718,0.1873369243843412,0.6460537036808566,0.0698933811513281,0.3784020218493727,0.6561358720064163,0.7137878522276877,0.7262187727382973,0.4218810045733345,0.1779835887274569,0.6070938101965484,0.1012446403425807,0.3565861525065783,0.6738983616232872,0.7628608200699091
19,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1549477279186248,0.1211436688899993,0.2035237699747085,0.5928105501985252,0.4651056241236538,0.2163232450739049,0.7179079136889324,0.1336577637121081,0.4187694694846868,0.6923307299613953,0.7249303132295609,0.5293533749290982,0.4936727336592948,0.2437127691846638,0.7979781463893902,0.2076933958700725,0.4321190339202682,0.7737851157784462,0.8513426840305328
